
> drmvyz@1.0.0 dev
> vite --host 127.0.0.1 --port 5173

Re-optimizing dependencies because lockfile has changed

2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/components/AiLyricExtractor.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/components/JsonLyricImporter.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/components/LyricDocumentSidebar.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/components/LyricManagerHeader.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/components/LyricPreviewPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/components/ManualLyricEditor.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/services/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/services/lyricExtraction.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/utils/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/utils/lyricDocumentImport.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/features/lyrics/utils/lyricValidation.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/audioModulation.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/lyricsDb.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/lyricsImport.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/lyricsSeed.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/mediaDb.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/mediaRoles.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/sessionDb.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/supabase.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/timeline.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/lib/transitionRenderer.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/hooks/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/hooks/useAnimationFrame.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/hooks/useAudioEngine.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/hooks/useModuleSystem.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/hooks/usePresets.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/hooks/useRecorder.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/renderers/CanvasBufferPool.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/renderers/WebGL2Renderer.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/renderers/gpuTransitions.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/renderers/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/renderers/postProcessParams.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/renderers/postProcessSource.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/renderers/rendererSelection.ts.html
